"cluster_id","start_index","end_index","start_date","end_date","cluster_size","cluster_duration_trading_days","cluster_max_loss","cluster_max_excess","cluster_max_date","z_vol_at_cluster_max","t_scaled_at_cluster_max","rv21_lag_at_cluster_max"
100,6489,6489,2018-12-04,2018-12-04,1,1,0.0329396624543818,0.0087389551836674,2018-12-04,0.631738939278786,0.948811422661956,0.0119392019198324
101,6502,6502,2018-12-24,2018-12-24,1,1,0.0267785192626313,0.00257781199191686,2018-12-24,0.980232628861566,0.954182443125534,0.0141992180840964
102,6597,6597,2019-05-13,2019-05-13,1,1,0.0254514745741607,0.0012507673034463,2019-05-13,-0.838783386186256,0.993432208051676,0.00574488460286918
103,6655,6655,2019-08-05,2019-08-05,1,1,0.0305344916079555,0.00633378433724107,2019-08-05,-0.982017246027098,1.01739522242764,0.0053497912738042
104,6662,6662,2019-08-14,2019-08-14,1,1,0.0300132831154549,0.00581257584474048,2019-08-14,0.464694975571839,1.02028731036956,0.0109871955195222
105,6669,6669,2019-08-23,2019-08-23,1,1,0.0260229425937109,0.00182223532299641,2019-08-23,0.870865752340429,1.02317939831149,0.0134473477256917
106,6794,6821,2020-02-24,2020-04-01,14,28,0.115886525523806,0.0916858182530911,2020-03-16,3.18670541537101,1.08102115715001,0.0425553658209415
107,6834,6834,2020-04-21,2020-04-21,1,1,0.0308335978526584,0.00663289058194393,2020-04-21,2.82609825661447,1.09135004265689,0.0355670776193346
108,6842,6842,2020-05-01,2020-05-01,1,1,0.0268299496580404,0.00262924238732597,2020-05-01,2.13835017202963,1.0946552860191,0.0252618987409697
109,6870,6870,2020-06-11,2020-06-11,1,1,0.059377073667493,0.0351763663967786,2020-06-11,0.808705232964882,1.1062236377868,0.0130378919462859
110,6879,6879,2020-06-24,2020-06-24,1,1,0.0258402554077284,0.00163954813701394,2020-06-24,1.30899118587852,1.10994203656928,0.01672206673632
111,6929,6931,2020-09-03,2020-09-08,2,3,0.0350202520218064,0.0108195447510919,2020-09-03,-0.82519280144419,1.13059980758304,0.00578385559009242
112,6967,6967,2020-10-28,2020-10-28,1,1,0.0347769057164973,0.0105761984457828,2020-10-28,0.359942865985967,1.14629971355349,0.0104293211329877
113,7028,7028,2021-01-27,2021-01-27,1,1,0.0247444085523121,0.000543701281597635,2021-01-27,-0.471273765685653,1.17150219419028,0.00689729297493096
